City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Maceio,BR,-9.6658,-35.7353,72.84,94,75,10.36,light intensity drizzle
130,San Vicente,AR,-26.6167,-54.1333,51.84,98,0,2.84,clear sky
131,Sakaiminato,JP,35.55,133.2333,82.38,57,20,18.41,few clouds
132,Saldanha,ZA,-33.0117,17.9442,50.5,70,11,6.71,few clouds
133,Lira,UG,2.235,32.9097,62.83,95,71,0.89,broken clouds
134,Wanaka,NZ,-44.7,169.15,43.52,95,92,5.79,light rain
135,Kavieng,PG,-2.5744,150.7967,84.81,69,68,12.44,broken clouds
136,Airai,TL,-8.9266,125.4092,71.67,53,62,5.28,broken clouds
137,Deep River,CA,46.1001,-77.4995,67.95,72,97,9.89,overcast clouds
138,Kissidougou,GN,9.1848,-10.0999,69.35,98,100,3.0,light rain
139,Ust-Tsilma,RU,65.441,52.1498,58.91,60,99,9.86,overcast clouds
140,Butaritari,KI,3.0707,172.7902,82.31,72,25,12.08,scattered clouds
141,Isangel,VU,-19.55,169.2667,82.51,78,40,4.61,scattered clouds
142,Saint-Augustin,CA,51.226,-58.6502,49.19,83,14,5.41,few clouds
143,Pangnirtung,CA,66.1451,-65.7125,36.68,99,100,4.27,overcast clouds
144,Laguna,US,38.421,-121.4238,85.44,32,0,16.11,clear sky
145,Dikson,RU,73.5069,80.5464,35.87,85,70,6.46,broken clouds
146,Fougamou,GA,-1.2154,10.5838,70.52,97,77,0.83,broken clouds
147,Araouane,ML,18.9048,-3.5265,90.55,26,10,11.16,clear sky
148,Muroto,JP,33.2833,134.15,73.53,87,100,16.93,overcast clouds
149,Lavrentiya,RU,65.5833,-171.0,39.36,95,100,15.93,overcast clouds
150,Lafiagi,NG,8.8667,5.4167,73.15,99,100,3.44,very heavy rain
151,San Andres,CO,12.5847,-81.7006,80.62,83,100,6.91,overcast clouds
152,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,84,40,5.99,scattered clouds
153,Luorong,CN,24.4058,109.6086,77.16,91,100,1.77,overcast clouds
154,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,8.39,overcast clouds
155,Georgetown,MY,5.4112,100.3354,85.93,78,20,6.91,few clouds
156,Chokurdakh,RU,70.6333,147.9167,68.41,24,95,7.45,overcast clouds
157,Sur,OM,22.5667,59.5289,89.29,58,9,6.35,clear sky
158,Baruun-Urt,MN,46.6806,113.2792,75.11,36,98,10.0,overcast clouds
159,Thinadhoo,MV,0.5333,72.9333,83.25,69,88,4.7,overcast clouds
160,Payakumbuh,ID,-0.2202,100.6308,83.14,58,73,1.43,broken clouds
161,Bastia,FR,42.6667,9.3333,72.3,78,0,3.44,clear sky
162,New Richmond,US,45.123,-92.5366,67.71,82,0,8.05,clear sky
163,Mackay,AU,-21.15,149.2,79.68,74,0,14.29,clear sky
164,Harper,LR,4.375,-7.7169,74.84,95,100,9.73,heavy intensity rain
165,Opuwo,NA,-18.0607,13.84,54.57,41,2,6.26,clear sky
166,Kananga,CD,-5.8958,22.4178,67.62,54,70,2.95,broken clouds
167,Aurora,US,39.7294,-104.8319,76.68,21,0,6.91,clear sky
168,Faanui,PF,-16.4833,-151.75,80.71,71,10,16.6,clear sky
169,Reconquista,AR,-29.15,-59.65,56.21,89,100,5.66,overcast clouds
170,Moyamba,SL,8.1667,-12.4333,73.17,98,100,2.13,overcast clouds
171,Edirne,TR,41.6772,26.556,56.8,76,59,5.19,broken clouds
172,Lata,PT,40.1629,-8.3327,60.55,98,50,2.59,scattered clouds
173,Hirtshals,DK,57.5881,9.9592,55.45,82,50,18.16,scattered clouds
174,Sobolevo,RU,54.4299,31.8996,48.72,93,0,7.02,clear sky
175,Darhan,MN,49.4867,105.9228,73.44,62,100,6.91,overcast clouds
176,Port Keats,AU,-14.25,129.55,88.14,20,74,10.8,broken clouds
177,Emba,KZ,48.8264,58.1442,75.69,29,9,5.99,clear sky
178,Birao,CF,10.2849,22.7882,72.84,81,100,5.44,overcast clouds
179,Karratha,AU,-20.7377,116.8463,81.41,29,65,13.24,broken clouds
180,Kenai,US,60.5544,-151.2583,65.03,66,0,14.97,clear sky
181,Clyde River,CA,70.4692,-68.5914,32.23,93,100,28.77,light snow
182,Tamiahua,MX,21.2667,-97.45,80.08,83,98,13.6,overcast clouds
183,Khatanga,RU,71.9667,102.5,68.86,32,65,9.69,broken clouds
184,San Cristobal,VE,7.7669,-72.225,68.18,97,100,2.93,overcast clouds
185,Lucea,JM,18.451,-78.1736,78.66,81,98,12.15,overcast clouds
186,Lasa,IT,46.6166,10.7002,63.48,74,5,4.45,clear sky
187,Tucurui,BR,-3.7661,-49.6725,71.19,82,24,2.73,few clouds
188,Adrar,MR,20.5022,-10.0711,88.38,30,20,10.09,few clouds
189,Torbay,CA,47.6666,-52.7314,39.97,81,20,5.01,few clouds
190,Talnakh,RU,69.4865,88.3972,69.21,41,100,7.72,overcast clouds
191,Kodiak,US,57.79,-152.4072,53.11,82,100,4.61,overcast clouds
192,Lumphat,KH,13.4878,106.9816,87.35,68,97,2.46,overcast clouds
193,Hilo,US,19.7297,-155.09,78.53,75,20,6.91,few clouds
194,Paramonga,PE,-10.6667,-77.8333,61.34,83,27,12.8,scattered clouds
195,Alberton,CA,46.8168,-64.0654,60.71,83,0,8.21,clear sky
196,Nyimba,ZM,-14.5566,30.8149,59.38,60,0,2.37,clear sky
197,Presidente Medici,BR,-11.1753,-61.9014,76.44,71,94,0.27,overcast clouds
198,Maltahohe,NA,-24.8333,16.9833,37.45,61,1,6.64,clear sky
199,Kendari,ID,-3.945,122.4989,81.77,79,81,2.01,broken clouds
200,Beringovskiy,RU,63.05,179.3167,45.72,73,100,19.77,overcast clouds
201,Pisco,PE,-13.7,-76.2167,59.02,82,20,3.44,smoke
202,Bengkulu,ID,-3.8004,102.2655,82.54,68,98,1.05,overcast clouds
203,Sinjar,IQ,36.3209,41.8754,78.26,38,0,6.67,clear sky
204,Nouadhibou,MR,20.931,-17.0347,65.68,86,0,22.41,clear sky
205,Asfi,MA,32.2994,-9.2372,66.79,81,35,9.86,scattered clouds
206,Mar Del Plata,AR,-38.0023,-57.5575,46.09,95,100,3.44,fog
207,Vanavara,RU,60.34,102.2797,76.37,47,99,5.5,overcast clouds
208,Inzer,RU,54.2167,57.5556,65.34,72,3,3.2,clear sky
209,Makinsk,KZ,52.6292,70.4169,63.28,67,32,11.39,scattered clouds
210,Castro,BR,-24.7911,-50.0119,50.81,91,13,2.95,few clouds
211,Guerrero Negro,MX,27.9769,-114.0611,63.23,83,0,16.26,clear sky
212,Killybegs,IE,54.6333,-8.45,54.88,92,100,7.18,overcast clouds
213,Mudu,CN,31.252,120.5118,86.88,52,0,7.07,clear sky
214,Mahebourg,MU,-20.4081,57.7,73.26,78,20,11.5,few clouds
215,Umm Lajj,SA,25.0213,37.2685,80.51,70,0,8.43,clear sky
216,Ilulissat,GL,69.2167,-51.1,37.42,70,0,1.14,clear sky
217,Lamu,KE,-2.2717,40.902,76.78,86,82,10.98,light rain
218,Saskylakh,RU,71.9167,114.0833,54.07,33,11,6.31,few clouds
219,Basco,PH,20.4487,121.9702,85.33,74,100,6.35,overcast clouds
220,Vestmannaeyjar,IS,63.4427,-20.2734,49.46,73,100,17.47,overcast clouds
221,Moerai,PF,-22.4333,-151.3333,75.94,65,99,11.43,overcast clouds
222,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.1,81,60,3.94,broken clouds
223,Tefe,BR,-3.3542,-64.7114,71.64,99,65,1.43,broken clouds
224,Grand Gaube,MU,-20.0064,57.6608,73.38,63,0,7.0,clear sky
225,Boca Do Acre,BR,-8.7522,-67.3978,72.39,80,19,0.38,few clouds
226,Nador,MA,35.174,-2.9287,75.45,78,0,8.05,light rain
227,Eureka,US,40.8021,-124.1637,59.94,77,83,2.24,broken clouds
228,Cidreira,BR,-30.1811,-50.2056,57.6,85,3,5.35,clear sky
229,Hvolsvollur,IS,63.7533,-20.2243,46.65,73,100,11.43,overcast clouds
230,Novikovo,RU,51.1537,37.8879,56.7,82,96,6.71,overcast clouds
231,Orumiyeh,IR,37.5527,45.0761,60.35,59,0,6.91,clear sky
232,Siniscola,IT,40.5719,9.6922,65.75,58,20,2.73,few clouds
233,Nizhniy Kuranakh,RU,58.8353,125.4869,69.17,44,2,4.88,clear sky
234,Port Lincoln,AU,-34.7333,135.8667,61.77,58,4,7.07,clear sky
235,Freetown,SL,8.484,-13.2299,77.52,85,100,6.62,light rain
236,Lagoa,PT,39.05,-27.9833,63.23,92,12,8.5,few clouds
237,Vero Beach,US,27.6386,-80.3973,82.99,80,0,4.61,clear sky
238,Tigil,RU,57.8,158.6667,61.84,56,100,4.76,overcast clouds
239,Dogondoutchi,NE,13.6393,4.0287,86.43,51,100,8.68,overcast clouds
240,Qaqortoq,GL,60.7167,-46.0333,38.39,79,1,3.56,clear sky
241,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,75,20,11.5,few clouds
242,Leningradskiy,RU,69.3833,178.4167,41.76,68,84,10.36,broken clouds
243,Cabedelo,BR,-6.9811,-34.8339,74.07,80,33,7.11,scattered clouds
244,Porto Novo,BJ,6.4965,2.6036,75.02,97,100,4.23,light rain
245,Esso,RU,55.9333,158.7,56.07,67,100,5.7,light rain
246,Shingu,JP,33.7333,135.9833,77.14,69,100,11.41,overcast clouds
247,Axim,GH,4.8699,-2.2405,73.56,98,100,9.66,very heavy rain
248,Thompson,CA,55.7435,-97.8558,62.76,59,75,6.91,broken clouds
249,Ponta Do Sol,PT,32.6667,-17.1,69.01,74,29,6.71,scattered clouds
250,Mezen,RU,65.8522,44.24,52.47,94,100,12.41,light rain
251,Yingcheng,CN,30.95,113.55,90.91,48,80,12.71,broken clouds
252,Mayumba,GA,-3.432,10.6554,71.37,89,18,4.61,few clouds
253,Imbituba,BR,-28.24,-48.6703,59.86,91,21,7.94,few clouds
254,Ust-Ishim,RU,57.6935,71.1665,61.0,73,95,7.61,overcast clouds
255,Haines Junction,CA,60.7522,-137.5108,62.55,48,95,8.05,overcast clouds
256,Severo-Kurilsk,RU,50.6789,156.125,50.18,79,99,7.72,overcast clouds
257,Katsuura,JP,35.1333,140.3,71.62,83,100,9.82,overcast clouds
258,Alugan,PH,12.2188,125.4808,86.2,66,25,7.63,scattered clouds
259,Suraabad,AZ,40.8192,49.4687,73.94,71,0,8.79,clear sky
260,Tual,ID,-5.6667,132.75,81.82,80,80,18.19,broken clouds
261,Manono,CD,-7.3,27.4167,69.71,50,3,3.94,clear sky
262,Kota Belud,MY,6.351,116.4305,87.48,59,97,3.78,overcast clouds
263,Chhabra,IN,24.6667,76.8333,78.46,84,100,13.0,overcast clouds
264,Ketchikan,US,55.3422,-131.6461,62.17,65,93,6.15,overcast clouds
265,Arman,RU,59.7,150.1667,53.02,91,100,5.01,overcast clouds
266,Estacion Coahuila,MX,32.1939,-115.0017,92.44,14,0,10.2,clear sky
267,Naze,JP,28.3667,129.4833,76.12,89,100,12.24,light rain
